,Kingdom,Phylum,Class,Order,Family,Genus,predicted_copy_number
ASV908,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1.653284304
ASV909,Bacteria,Chloroflexi,Ktedonobacteria,C0119,NA,NA,3.323878585
ASV910,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,NA,NA,2.871027205
ASV911,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,1.403227777
ASV912,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,2.651756731
ASV913,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,3.898846148
ASV914,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium,2.163058179
ASV915,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,2.11110066
ASV916,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup 17,NA,NA,2.556577779
ASV917,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Edaphobacter,1.649685506
ASV918,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,1.96013122
ASV919,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,1.869637987
ASV920,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,NA,2.137825524
ASV921,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Xylophilus,3.016091089
ASV922,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,5.234321498
ASV923,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA,7.977655956
ASV924,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,1.925289434
ASV925,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,NA,2.314941991
ASV926,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Bauldia,1.97362228
ASV927,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,2.439047228
ASV928,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,1.572589558
ASV929,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,A21b,NA,2.053706476
ASV930,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup 17,NA,NA,1.858704615
ASV931,Bacteria,Chloroflexi,TK10,NA,NA,NA,4.651755701
ASV932,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,2.403121406
ASV933,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,2.362775286
ASV934,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,1.732319496
ASV935,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,NA,2.76657411
ASV936,Bacteria,Chloroflexi,P2-11E,NA,NA,NA,2.602660216
ASV937,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Mycetocola,4.032091282
ASV938,Bacteria,NB1-j,NA,NA,NA,NA,4.338501689
ASV939,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Actimicrobium,2.971034745
ASV940,Bacteria,Planctomycetota,Pla4 lineage,NA,NA,NA,4.017458504
ASV941,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,1.775251971
ASV942,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,2.761510046
ASV943,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,1.424962171
ASV944,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,2.470474193
ASV945,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,3.697453583
ASV946,Bacteria,Myxococcota,Myxococcia,Myxococcales,Vulgatibacteraceae,Vulgatibacter,1.986077969
ASV947,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,1.673792841
ASV948,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Tahibacter,2.599861026
ASV949,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,NA,2.355481366
ASV950,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,3.347609731
ASV951,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin118,1.347655315
ASV952,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,2.316828841
ASV953,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,1.203990188
ASV954,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,1.579321601
ASV955,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,2.549481465
ASV956,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,3.6000951
ASV957,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,1.732472812
ASV958,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,NA,1.871118811
ASV959,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,NA,2.443206785
ASV960,Bacteria,Myxococcota,bacteriap25,NA,NA,NA,4.784195115
ASV961,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,1.778201228
ASV962,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,2.04120836
ASV963,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,1.396009686
ASV964,Bacteria,Gemmatimonadota,BD2-11 terrestrial group,NA,NA,NA,1.237534961
ASV965,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Zavarzinella,1.779020951
ASV966,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,3.170030183
ASV967,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,NA,2.514645535
ASV968,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,2.219674997
ASV969,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia,2.210037537
ASV970,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,3.666695355
ASV971,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,1.881619031
ASV972,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hirschia,2.255167957
ASV973,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera,2.402027135
ASV974,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA,1.541103759
ASV975,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 9,11.44292629
ASV976,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,1.621577673
ASV977,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Oerskovia,3.086408332
ASV978,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,NA,1.748920585
ASV979,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,1.378936669
ASV980,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Singulisphaera,6.310186187
ASV981,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,2.548533473
ASV982,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,1.429652735
ASV983,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,2.313887367
ASV984,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,2.929831191
ASV985,Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,Vampirovibrionaceae,Vampirovibrio,2.642103393
ASV986,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,1.621092775
ASV987,Bacteria,NA,NA,NA,NA,NA,2.844509813
ASV988,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus,6.390797395
ASV989,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga,1.776132065
ASV990,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Candidatus Alysiosphaera,1.979115035
ASV991,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,NA,2.715678656
ASV992,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,1.562933574
ASV993,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,6.874631146
ASV994,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,4.30283986
ASV995,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,3.59745826
ASV996,Bacteria,Elusimicrobiota,Elusimicrobia,Lineage IV,NA,NA,1.072419611
ASV997,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,6.430539984
ASV998,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus Xiphinematobacter,1.753001447
ASV999,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,3.182546842
ASV1000,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,2.567354703
ASV1001,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,NA,2.725232951
ASV1002,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Dinghuibacter,1.508907211
ASV1003,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA,1.963211538
ASV1004,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,YM_S32_TM7_50_20,NA,1.778830424
ASV1005,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,NA,2.539897676
ASV1006,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,1.658376235
ASV1007,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA,3.444468527
ASV1008,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,2.601957149
ASV1009,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Aquisphaera,3.3541476
ASV1010,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,1.246149155
ASV1011,Bacteria,Chloroflexi,KD4-96,NA,NA,NA,2.913411474
ASV1012,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,possible genus 04,4.862958684
ASV1013,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI 0001001-H03,1.291252369
ASV1014,Bacteria,Latescibacterota,NA,NA,NA,NA,1.866655994
ASV1015,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,1.573729809
ASV1016,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,1.907763151
ASV1017,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,1.748505011
ASV1018,Bacteria,NB1-j,NA,NA,NA,NA,3.243007994
ASV1019,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,1.660467565
ASV1020,Bacteria,RCP2-54,NA,NA,NA,NA,2.727008336
ASV1021,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,1.748768588
ASV1022,Bacteria,Acidobacteriota,Acidobacteriae,Subgroup 2,NA,NA,1.19990846
ASV1023,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,6.906349692
ASV1024,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,2.025738128
ASV1025,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,3.572446187
ASV1026,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,1.129607878
ASV1027,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,2.2376396
ASV1028,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,1.919197272
ASV1029,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga,2.210699636
ASV1030,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA,1.827060385
ASV1031,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,4.285583363
ASV1032,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,NA,4.348977964
ASV1033,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Aetherobacter,2.0527045
ASV1034,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,2.685972259
ASV1035,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Cellvibrio,3.398648648
ASV1036,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,4.907334475
ASV1037,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,5.171937576
ASV1038,Bacteria,Firmicutes,Bacilli,Entomoplasmatales,Candidatus Spiroplasma,NA,2.236100394
ASV1039,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Nordella,1.782173248
ASV1040,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,1.483606334
ASV1041,Bacteria,Actinobacteriota,Coriobacteriia,OPB41,NA,NA,2.564926649
ASV1042,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,1.897854097
ASV1043,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,5.35090066
ASV1044,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,8.930604669
ASV1045,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,1.716888809
ASV1046,Bacteria,Elusimicrobiota,Elusimicrobia,Lineage IV,NA,NA,1.060643092
ASV1047,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,1.822168684
ASV1048,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,2.518690155
ASV1049,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Occallatibacter,1.900445315
ASV1050,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,NA,3.471620019
ASV1051,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,1.297278798
ASV1052,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,3.862963431
ASV1053,Bacteria,FCPU426,NA,NA,NA,NA,4.210112616
ASV1054,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,2.77491668
ASV1055,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes vadinHA17,NA,2.38347779
ASV1056,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,1.886032629
ASV1057,Bacteria,Chloroflexi,TK10,NA,NA,NA,8.170058007
ASV1058,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,2.331103692
ASV1059,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,2.56870746
ASV1060,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin118,1.386667552
ASV1061,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA,2.468007211
ASV1062,Bacteria,Planctomycetota,Pla4 lineage,NA,NA,NA,1.739096503
ASV1063,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,2.463749839
ASV1064,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,TM7a,1.369117257
ASV1065,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,1.210720625
ASV1066,Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA,3.916891747
ASV1067,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,1.794565857
ASV1068,Bacteria,FCPU426,NA,NA,NA,NA,4.937878687
ASV1069,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,2.658726233
ASV1070,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Paucibacter,3.055019386
ASV1071,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,3.146773855
ASV1072,Bacteria,Chloroflexi,KD4-96,NA,NA,NA,3.430938914
ASV1073,Bacteria,Elusimicrobiota,Lineage IIb,NA,NA,NA,1.138329503
ASV1074,Bacteria,Latescibacterota,NA,NA,NA,NA,3.1601222
ASV1075,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,NA,3.457824735
ASV1076,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,IS-44,4.385456785
ASV1077,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,2.011992456
ASV1078,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,2.451095542
ASV1079,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,AKYG587,1.840766655
ASV1080,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,DEV008,2.101116534
ASV1081,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,1.688591501
ASV1082,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,1.522100079
ASV1083,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,2.574783648
ASV1084,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Ellin516,1.616263914
ASV1085,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,1.883624296
ASV1086,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,2.56198254
ASV1087,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,1.815252193
ASV1088,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA,2.358178528
ASV1089,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,2.448385966
ASV1090,Bacteria,Acidobacteriota,Subgroup 5,NA,NA,NA,2.023089022
ASV1091,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,1.727316359
ASV1092,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,2.060108531
ASV1093,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,2.208190149
ASV1094,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,6.777959201
ASV1095,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,KI89A clade,NA,6.461611356
ASV1096,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI 0001001-H03,1.859291306
ASV1097,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,1.419511144
ASV1098,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,2.423931104
ASV1099,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,3.182259738
ASV1100,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,10.17611251
ASV1101,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,possible genus 04,2.321419329
ASV1102,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,1.363821617
ASV1103,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,1.4311162
ASV1104,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,1.199845254
ASV1105,Bacteria,Chloroflexi,OLB14,NA,NA,NA,1.803576285
ASV1106,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,1.444025159
ASV1107,Bacteria,Planctomycetota,OM190,NA,NA,NA,2.302916013
ASV1108,Bacteria,Latescibacterota,NA,NA,NA,NA,1.974033815
ASV1109,Bacteria,Proteobacteria,Gammaproteobacteria,CCD24,NA,NA,2.424527165
ASV1110,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,1.58576405
ASV1111,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,2.08133025
ASV1112,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA,2.664019454
ASV1113,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,1.511861184
ASV1114,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,2.963346335
ASV1115,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,7.56710934
ASV1116,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,2.90779866
ASV1117,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Bauldia,2.136367586
ASV1118,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,1.571494784
ASV1119,Bacteria,Planctomycetota,Pla4 lineage,NA,NA,NA,1.763383622
ASV1120,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,3.3308758
ASV1121,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,2.384934558
ASV1122,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,1.583659742
ASV1123,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Polyangium,2.210784698
ASV1124,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,1.351565622
ASV1125,Bacteria,Chloroflexi,KD4-96,NA,NA,NA,2.839061538
ASV1126,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus Amoebophilus,1.484793545
ASV1127,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,2.595734834
ASV1128,Bacteria,Latescibacterota,NA,NA,NA,NA,2.269450877
ASV1129,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Polycyclovorans,3.056721761
ASV1130,Bacteria,NA,NA,NA,NA,NA,2.78798298
ASV1131,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,4.204966279
ASV1132,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus,2.711427502
ASV1133,Bacteria,Chloroflexi,TK10,NA,NA,NA,2.098432605
ASV1134,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,1.799062618
ASV1135,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,TM7a,1.28023913
ASV1136,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,OLB12,2.386098165
ASV1137,Bacteria,Acidobacteriota,Holophagae,Subgroup 7,NA,NA,1.80079994
ASV1138,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,2.309048469
ASV1139,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,5.051015984
ASV1140,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,1.989592245
ASV1141,Bacteria,Acidobacteriota,Holophagae,Subgroup 7,NA,NA,2.007279201
ASV1142,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Williamsia,3.303655688
ASV1143,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,1.745356756
ASV1144,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,2.44663583
ASV1145,Bacteria,Planctomycetota,OM190,NA,NA,NA,1.995038125
ASV1146,Bacteria,Planctomycetota,OM190,NA,NA,NA,2.327592483
ASV1147,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,1.93390587
ASV1148,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus Solibacter,1.764156711
ASV1149,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,2.117445243
ASV1150,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Mobilitalea,8.833791108
ASV1151,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Nordella,1.68674334
ASV1152,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,1.296659768
ASV1153,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,NA,2.887645106
ASV1154,Bacteria,Acidobacteriota,Subgroup 25,NA,NA,NA,2.509053945
ASV1155,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Nordella,1.744304047
ASV1156,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,2.770225044
